NuExtract:0.5B,7,12,10,42.0,71.1864406779661,77.77777777777779,74.33628318584071,59.154929577464785,huggingface,hospital1, None
NuExtract:2B,8,7,13,43.0,67.1875,86.0,75.43859649122807,60.56338028169014,huggingface,hospital1, None
NuExtract:4B,7,8,12,44.0,69.84126984126983,84.61538461538461,76.52173913043478,61.97183098591549,huggingface,hospital1, None
NuExtract:0.5B,1,14,11,45.0,78.94736842105263,76.27118644067797,77.58620689655173,63.38028169014085,huggingface,hospital2, None
NuExtract:2B,1,18,10,42.0,79.24528301886792,70.0,74.33628318584071,59.154929577464785,huggingface,hospital2, None
NuExtract:4B,1,8,9,53.0,84.12698412698413,86.88524590163934,85.48387096774194,74.64788732394366,huggingface,hospital2, None
GLiNER,0,50,0,6.0,40.0,8.450704225352112,13.953488372093023,8.450704225352112,GLiNER,hospital1,
GLiNER,0,39,0,8.0,47.05882352941176,11.267605633802818,18.181818181818183,11.267605633802818,GLiNER,hospital2,
llama3.23b,6,21,14,30.0,60.0,58.82352941176471,59.4059405940594,42.25352112676056,ollama,hospital1,Normal
qwen2.5vl3b,0,15,0,56.0,100.0,78.87323943661971,88.18897637795276,78.87323943661971,ollama,hospital1,Normal
qwen34b,3,15,0,53.0,94.64285714285714,77.94117647058823,85.48387096774194,74.64788732394366,ollama,hospital1,Normal
granite3.2,8,24,6,33.0,70.2127659574468,57.89473684210527,63.46153846153847,46.478873239436616,ollama,hospital1,Normal
gemma31b-it-qat,10,28,1,32.0,74.4186046511628,53.333333333333336,62.13592233009709,45.07042253521127,ollama,hospital1,Normal
gemma34b,9,21,2,39.0,78.0,65.0,70.9090909090909,54.929577464788736,ollama,hospital1,Normal
llama3.21b,3,18,17,33.0,62.264150943396224,64.70588235294117,63.46153846153847,46.478873239436616,ollama,hospital1,Normal
gemma34b,16,16,7,32.0,58.18181818181818,66.66666666666666,62.13592233009708,45.07042253521127,ollama,hospital2,Normal
granite3.2,4,25,20,22.0,47.82608695652174,46.808510638297875,47.311827956989255,30.985915492957744,ollama,hospital2,Normal
qwen34b,3,15,0,53.0,94.64285714285714,77.94117647058823,85.48387096774194,74.64788732394366,ollama,hospital2,Normal
llama3.21b,0,7,8,56.0,87.5,88.88888888888889,88.18897637795276,78.87323943661971,ollama,hospital2,Normal
llama3.23b,2,21,3,45.0,90.0,68.18181818181817,77.5862068965517,63.38028169014085,ollama,hospital2,Normal
qwen2.5vl3b,2,27,3,39.0,88.63636363636364,59.09090909090909,70.9090909090909,54.929577464788736,ollama,hospital2,Normal
gemma31b-it-qat,2,24,0,45.0,95.74468085106383,65.21739130434783,77.58620689655173,63.38028169014085,ollama,hospital2,Normal
llama3.23b,18,12,1,40.0,67.79661016949152,76.92307692307693,72.07207207207206,56.33802816901409,ollama,hospital1,LTNER/GPT-NER
qwen2.5vl3b,0,15,0,56.0,100.0,78.87323943661971,88.18897637795276,78.87323943661971,ollama,hospital1,LTNER/GPT-NER
qwen34b,7,26,2,36.0,80.0,58.06451612903226,67.28971962616824,50.70422535211267,ollama,hospital1,LTNER/GPT-NER
granite3.2,1,15,0,55.0,98.21428571428572,78.57142857142857,87.30158730158729,77.46478873239437,ollama,hospital1,LTNER/GPT-NER
gemma31b-it-qat,3,28,3,37.0,86.04651162790698,56.92307692307692,68.51851851851852,52.112676056338024,ollama,hospital1,LTNER/GPT-NER
